Wavelength,Tungsten Bulb Raw,Tungsten Bulb Covered
198,0.0048,0.0060
198,0.0041,0.0013
198,0.0034,0.0033
199,0.0023,0.0031
199,0.0048,0.0009
199,0.0017,0.0023
199,0.0044,0.0048
199,0.0046,0.0050
200,0.0050,0.0033
200,0.0033,0.0014
200,0.0055,0.0038
200,0.0020,0.0044
200,0.0051,0.0031
201,0.0042,0.0027
201,0.0025,0.0041
201,0.0052,0.0028
201,0.0032,-0.0001
201,0.0025,0.0048
202,0.0010,0.0043
202,0.0021,0.0004
202,0.0048,0.0008
202,0.0044,0.0023
202,0.0043,0.0041
203,0.0032,0.0031
203,0.0086,0.0080
203,0.0053,0.0040
203,0.0045,0.0047
203,0.0011,0.0021
204,0.0047,0.0018
204,0.0005,0.0026
204,0.0041,0.0043
204,-0.0002,0.0011
204,0.0052,0.0029
205,0.0046,0.0098
205,0.0043,0.0030
205,0.0041,0.0045
205,0.0026,0.0010
205,0.0025,0.0012
206,0.0040,0.0049
206,0.0005,0.0011
206,0.0048,0.0028
206,0.0030,0.0038
206,0.0071,0.0104
207,0.0034,0.0057
207,0.0074,0.0076
207,0.0056,0.0035
207,0.0061,0.0073
207,0.0032,0.0008
208,0.0027,0.0062
208,0.0055,0.0025
208,0.0066,0.0062
208,0.0027,0.0009
208,0.0026,0.0051
209,0.0029,0.0042
209,0.0049,0.0009
209,0.0030,0.0012
209,0.0023,0.0051
210,0.0025,0.0049
210,0.0041,0.0028
210,0.0039,0.0031
210,0.0015,0.0052
210,0.0027,0.0029
211,0.0049,0.0033
211,0.0040,0.0033
211,0.0044,0.0034
211,0.0053,0.0089
211,0.0064,0.0044
212,0.0049,0.0028
212,0.0019,0.0029
212,0.0042,0.0044
212,0.0052,0.0030
212,0.0017,-0.0003
213,0.0076,0.0126
213,0.0019,0.0020
213,0.0070,0.0069
213,0.0032,0.0048
213,0.0054,0.0062
214,0.0006,0.0009
214,0.0027,0.0041
214,0.0041,0.0022
214,0.0037,0.0018
214,0.0017,0.0029
215,0.0053,0.0021
215,0.0043,0.0036
215,0.0022,0.0051
215,0.0050,0.0033
215,0.0069,0.0075
216,0.0023,0.0014
216,0.0041,0.0032
216,0.0052,0.0083
216,0.0026,0.0037
216,0.0051,0.0048
217,0.0064,0.0027
217,0.0046,0.0026
217,0.0050,0.0081
217,0.0042,0.0044
217,0.0051,0.0030
218,0.0040,0.0039
218,0.0037,0.0072
218,0.0041,0.0069
218,0.0022,0.0070
218,0.0053,0.0046
219,0.0018,0.0030
219,0.0020,0.0011
219,0.0011,0.0054
219,0.0018,0.0048
219,0.0032,0.0010
220,0.0044,0.0020
220,0.0051,0.0048
220,0.0038,0.0068
220,0.0078,0.0037
221,0.0048,0.0060
221,0.0053,0.0083
221,0.0025,0.0037
221,0.0038,0.0024
221,0.0024,0.0031
222,0.0042,0.0042
222,0.0037,0.0014
222,0.0042,0.0051
222,0.0006,0.0016
222,0.0037,0.0018
223,0.0049,0.0031
223,0.0071,0.0086
223,-0.0003,0.0047
223,0.0033,0.0042
223,0.0020,0.0066
224,0.0041,0.0021
224,0.0040,0.0019
224,0.0040,0.0042
224,0.0029,-0.0017
224,0.0077,0.0032
225,0.0050,0.0048
225,0.0029,0.0027
225,0.0050,0.0028
225,0.0017,-0.0006
225,0.0003,0.0012
226,0.0053,0.0048
226,0.0037,0.0018
226,0.0038,0.0031
226,0.0029,-0.0004
226,0.0051,0.0000
227,0.0052,0.0030
227,0.0046,0.0052
227,0.0032,0.0033
227,0.0068,0.0101
227,0.0009,0.0052
228,0.0022,0.0054
228,0.0038,0.0038
228,0.0068,0.0047
228,0.0044,0.0028
228,0.0043,0.0036
229,0.0012,0.0041
229,-0.0006,0.0038
229,0.0072,0.0027
229,0.0023,0.0062
229,0.0037,0.0023
230,0.0047,0.0067
230,0.0033,0.0044
230,0.0064,0.0033
230,0.0046,0.0049
231,0.0049,0.0049
231,0.0003,0.0006
231,0.0043,0.0073
231,0.0048,0.0038
231,0.0054,0.0035
232,0.0021,0.0050
232,0.0033,0.0035
232,0.0055,0.0037
232,0.0037,0.0070
232,0.0017,-0.0012
233,0.0048,0.0027
233,0.0044,0.0022
233,0.0046,0.0021
233,0.0082,0.0047
233,0.0045,0.0042
234,0.0034,0.0012
234,0.0042,0.0009
234,0.0063,0.0067
234,0.0072,0.0069
234,0.0006,0.0034
235,0.0027,0.0043
235,0.0038,0.0060
235,0.0055,0.0051
235,0.0054,0.0029
235,0.0071,0.0055
236,0.0020,0.0032
236,0.0054,0.0055
236,0.0027,0.0071
236,0.0043,0.0057
236,0.0020,0.0027
237,0.0034,0.0058
237,0.0034,0.0040
237,0.0027,0.0037
237,0.0038,0.0041
237,0.0049,0.0034
238,0.0008,0.0006
238,0.0038,0.0045
238,0.0041,0.0025
238,0.0043,0.0016
239,0.0045,0.0044
239,0.0034,0.0023
239,0.0038,0.0010
239,0.0037,0.0029
239,0.0024,0.0033
240,0.0068,0.0029
240,0.0032,0.0032
240,0.0037,0.0043
240,0.0065,0.0046
240,0.0063,0.0020
241,0.0036,0.0049
241,0.0048,0.0056
241,0.0025,0.0057
241,0.0051,0.0021
241,0.0049,0.0027
242,0.0037,0.0041
242,0.0033,0.0077
242,0.0050,0.0018
242,0.0050,0.0046
242,0.0032,0.0041
243,0.0042,0.0022
243,0.0035,0.0043
243,0.0030,0.0046
243,0.0046,0.0039
243,0.0043,0.0057
244,0.0051,0.0039
244,0.0018,0.0046
244,0.0026,0.0031
244,0.0008,0.0016
244,0.0024,0.0036
245,0.0043,0.0020
245,0.0029,0.0037
245,0.0058,0.0043
245,0.0023,0.0016
246,0.0028,0.0017
246,0.0038,0.0057
246,0.0034,0.0042
246,0.0049,0.0035
246,0.0048,0.0022
247,0.0071,0.0065
247,0.0025,0.0019
247,0.0057,0.0024
247,0.0042,0.0063
247,0.0040,0.0010
248,0.0036,0.0000
248,0.0065,0.0036
248,0.0046,0.0035
248,0.0034,0.0048
248,0.0021,0.0043
249,0.0038,0.0063
249,0.0049,0.0039
249,0.0037,0.0040
249,0.0049,0.0017
249,0.0038,0.0059
250,0.0043,0.0023
250,0.0038,0.0060
250,0.0041,0.0054
250,0.0038,0.0001
250,0.0028,0.0031
251,0.0043,0.0013
251,0.0025,0.0061
251,0.0046,0.0014
251,0.0022,0.0024
251,0.0049,0.0006
252,0.0024,-0.0011
252,0.0064,0.0018
252,0.0008,0.0032
252,0.0054,0.0039
253,0.0048,0.0057
253,0.0038,0.0025
253,0.0052,0.0019
253,0.0025,0.0039
253,0.0032,0.0035
254,0.0023,0.0044
254,0.0040,0.0017
254,0.0036,0.0043
254,0.0026,0.0015
254,0.0037,0.0064
255,0.0050,0.0078
255,0.0029,0.0054
255,0.0038,0.0025
255,0.0051,0.0051
255,0.0032,0.0050
256,0.0036,0.0015
256,0.0028,0.0005
256,0.0012,0.0067
256,0.0057,0.0017
256,0.0025,0.0071
257,0.0048,0.0019
257,0.0073,0.0051
257,0.0020,0.0025
257,0.0033,0.0043
257,0.0043,0.0063
258,0.0059,0.0056
258,0.0037,0.0037
258,0.0018,0.0036
258,0.0052,0.0019
259,0.0052,0.0032
259,0.0044,0.0047
259,0.0045,0.0032
259,0.0035,0.0041
259,0.0045,0.0017
260,0.0067,0.0022
260,0.0023,0.0063
260,0.0032,0.0011
260,0.0048,0.0044
260,0.0021,0.0009
261,0.0044,0.0054
261,0.0057,0.0023
261,0.0035,0.0039
261,0.0028,0.0034
261,0.0052,0.0040
262,0.0036,0.0039
262,0.0055,0.0060
262,0.0048,0.0058
262,0.0036,0.0030
262,0.0015,0.0020
263,0.0038,0.0015
263,0.0050,0.0027
263,0.0026,0.0029
263,0.0041,0.0048
264,0.0039,0.0073
264,0.0027,0.0040
264,0.0048,0.0031
264,0.0043,0.0047
264,0.0043,0.0085
265,0.0036,0.0054
265,0.0034,0.0039
265,0.0022,0.0032
265,0.0049,0.0035
265,0.0046,0.0052
266,0.0026,0.0033
266,0.0031,0.0039
266,0.0049,0.0025
266,0.0038,0.0050
266,0.0050,0.0026
267,0.0071,0.0044
267,0.0040,0.0055
267,0.0012,0.0018
267,0.0082,0.0044
267,0.0021,0.0035
268,0.0060,0.0048
268,0.0049,0.0019
268,0.0053,0.0068
268,0.0052,0.0039
268,0.0041,0.0045
269,0.0060,0.0055
269,0.0052,0.0076
269,0.0017,0.0058
269,0.0051,0.0069
270,0.0017,0.0014
270,0.0031,0.0047
270,0.0044,0.0043
270,0.0067,0.0029
270,0.0035,0.0024
271,0.0043,0.0083
271,0.0046,0.0024
271,0.0022,0.0024
271,0.0039,0.0013
271,0.0040,0.0045
272,0.0032,0.0042
272,0.0057,0.0007
272,0.0052,0.0033
272,0.0038,0.0033
272,0.0023,0.0015
273,0.0049,0.0034
273,0.0040,0.0065
273,0.0047,0.0058
273,0.0052,0.0020
273,0.0058,0.0024
274,0.0016,0.0018
274,0.0057,0.0066
274,0.0064,0.0032
274,0.0054,0.0074
275,0.0056,0.0071
275,0.0053,0.0040
275,0.0040,0.0061
275,0.0065,0.0038
275,0.0046,0.0020
276,0.0053,0.0052
276,0.0035,0.0050
276,0.0049,0.0014
276,0.0029,0.0009
276,0.0043,0.0041
277,0.0043,0.0071
277,0.0035,0.0054
277,0.0040,0.0031
277,0.0036,0.0065
277,0.0041,0.0036
278,0.0062,0.0055
278,0.0044,0.0048
278,0.0073,0.0067
278,0.0061,0.0018
278,0.0070,0.0071
279,0.0058,0.0034
279,0.0059,0.0036
279,0.0046,0.0056
279,0.0045,0.0047
280,0.0043,0.0051
280,0.0053,0.0069
280,0.0061,0.0017
280,0.0053,0.0036
280,0.0025,0.0013
281,0.0040,0.0071
281,0.0086,0.0053
281,0.0039,0.0041
281,0.0037,0.0066
281,0.0056,0.0067
282,0.0016,0.0067
282,0.0043,0.0045
282,0.0043,0.0025
282,0.0063,0.0051
282,0.0029,0.0016
283,0.0062,0.0066
283,0.0023,0.0047
283,0.0032,0.0063
283,0.0027,0.0029
283,0.0058,0.0031
284,0.0031,0.0058
284,0.0022,0.0054
284,0.0049,0.0053
284,0.0051,0.0080
285,0.0068,0.0042
285,0.0045,0.0024
285,0.0061,0.0054
285,0.0066,0.0072
285,0.0020,0.0042
286,0.0041,0.0053
286,0.0050,0.0045
286,0.0042,0.0023
286,0.0064,0.0040
286,0.0050,0.0069
287,0.0017,0.0025
287,0.0060,0.0059
287,0.0046,0.0053
287,0.0067,0.0058
287,0.0055,0.0049
288,0.0057,0.0048
288,0.0010,0.0018
288,0.0050,0.0048
288,0.0023,0.0028
289,0.0044,0.0033
289,0.0045,0.0039
289,0.0026,0.0027
289,0.0067,0.0041
289,0.0037,0.0086
290,0.0048,0.0026
290,0.0049,0.0038
290,0.0029,0.0015
290,0.0044,0.0049
290,0.0033,0.0031
291,0.0059,0.0061
291,0.0053,0.0027
291,0.0053,0.0062
291,0.0033,-0.0004
291,0.0052,0.0052
292,0.0051,0.0056
292,0.0051,0.0057
292,0.0034,0.0058
292,0.0048,0.0024
293,0.0038,0.0011
293,0.0044,0.0050
293,0.0043,0.0047
293,0.0016,0.0034
293,0.0027,0.0021
294,0.0038,0.0027
294,0.0044,0.0078
294,0.0056,0.0051
294,0.0034,0.0029
294,0.0066,0.0032
295,0.0027,0.0013
295,0.0049,0.0042
295,0.0036,0.0029
295,0.0048,0.0038
295,0.0037,0.0075
296,0.0067,0.0034
296,0.0029,0.0036
296,0.0044,0.0036
296,0.0049,0.0014
296,0.0024,0.0033
297,0.0035,0.0035
297,0.0056,0.0063
297,0.0048,0.0028
297,0.0012,0.0042
298,0.0017,0.0009
298,0.0057,0.0050
298,0.0029,0.0037
298,0.0029,0.0032
298,0.0032,0.0037
299,0.0053,0.0035
299,0.0016,0.0047
299,0.0035,0.0051
299,0.0010,0.0015
299,0.0050,0.0074
300,0.0041,0.0038
300,0.0055,0.0040
300,0.0050,0.0010
300,0.0059,0.0029
300,0.0010,0.0010
301,0.0061,0.0055
301,0.0046,0.0051
301,0.0068,0.0056
301,0.0041,0.0016
302,0.0040,0.0035
302,0.0037,0.0042
302,0.0048,0.0026
302,0.0014,0.0028
302,0.0034,0.0015
303,0.0035,-0.0002
303,0.0056,0.0051
303,0.0053,0.0079
303,0.0033,0.0039
303,0.0057,0.0023
304,0.0053,0.0064
304,0.0026,0.0039
304,0.0035,0.0042
304,0.0029,0.0039
304,0.0066,0.0028
305,0.0050,0.0037
305,0.0058,0.0060
305,0.0015,0.0029
305,0.0031,0.0030
306,0.0025,0.0035
306,0.0050,0.0065
306,0.0014,0.0036
306,0.0041,0.0050
306,0.0023,0.0037
307,0.0054,0.0023
307,0.0044,0.0043
307,0.0043,0.0033
307,0.0026,0.0054
307,0.0065,0.0060
308,0.0060,0.0072
308,0.0054,0.0029
308,0.0029,0.0058
308,0.0039,0.0039
308,0.0073,0.0036
309,0.0034,0.0019
309,0.0060,0.0029
309,0.0052,0.0022
309,0.0054,0.0061
310,0.0061,0.0067
310,0.0019,0.0040
310,0.0032,0.0009
310,0.0019,0.0014
310,0.0054,0.0069
311,0.0038,0.0014
311,0.0054,0.0049
311,0.0017,0.0060
311,0.0027,0.0082
311,0.0034,0.0066
312,0.0083,0.0056
312,0.0043,0.0064
312,0.0058,0.0074
312,0.0056,0.0040
313,0.0038,0.0053
313,0.0020,0.0012
313,0.0048,0.0020
313,0.0030,0.0021
313,0.0031,0.0056
314,0.0047,0.0055
314,0.0023,0.0022
314,0.0050,0.0022
314,0.0082,0.0057
314,0.0059,0.0041
315,0.0022,0.0035
315,0.0023,0.0014
315,0.0046,0.0066
315,0.0049,0.0029
315,0.0061,0.0067
316,0.0080,0.0065
316,0.0043,0.0005
316,0.0021,0.0036
316,0.0035,0.0040
317,0.0048,0.0063
317,0.0061,0.0044
317,0.0021,0.0028
317,0.0026,0.0045
317,0.0021,0.0042
318,0.0039,0.0065
318,0.0040,0.0008
318,0.0023,0.0042
318,0.0019,0.0065
318,0.0033,0.0058
319,0.0018,0.0025
319,0.0049,0.0049
319,0.0022,-0.0004
319,0.0057,0.0035
319,0.0039,0.0058
320,0.0034,0.0037
320,0.0038,0.0020
320,0.0058,0.0063
320,0.0044,0.0038
321,0.0037,0.0031
321,0.0040,0.0037
321,0.0032,0.0018
321,0.0039,0.0036
321,0.0043,0.0036
322,0.0058,0.0058
322,0.0053,0.0053
322,0.0015,0.0041
322,0.0057,0.0013
322,0.0037,0.0030
323,0.0054,0.0062
323,0.0055,0.0052
323,0.0045,0.0035
323,0.0049,0.0044
324,0.0077,0.0037
324,0.0043,0.0043
324,0.0065,0.0042
324,0.0035,0.0048
324,0.0075,0.0010
325,0.0017,-0.0013
325,0.0040,0.0036
325,0.0032,0.0056
325,0.0055,0.0047
325,0.0029,0.0021
326,0.0039,0.0058
326,0.0042,0.0063
326,0.0050,0.0035
326,-0.0006,0.0029
326,0.0052,0.0048
327,0.0050,0.0023
327,0.0039,0.0051
327,0.0062,0.0014
327,0.0035,0.0017
328,0.0046,0.0032
328,0.0111,0.0161
328,0.0047,0.0045
328,0.0047,0.0040
328,0.0044,0.0034
329,0.0035,0.0058
329,0.0038,0.0039
329,0.0048,0.0038
329,0.0043,0.0045
329,0.0034,0.0040
330,0.0057,0.0066
330,0.0040,0.0047
330,0.0028,0.0007
330,0.0062,0.0029
331,0.0029,0.0021
331,0.0024,0.0047
331,0.0003,0.0018
331,0.0042,0.0059
331,0.0032,0.0059
332,0.0034,0.0049
332,0.0039,0.0067
332,0.0084,0.0061
332,0.0041,0.0022
332,0.0046,0.0061
333,0.0044,0.0061
333,0.0043,0.0033
333,0.0041,0.0035
333,0.0045,0.0029
333,0.0047,0.0046
334,0.0061,0.0028
334,0.0023,0.0019
334,0.0021,0.0040
334,0.0041,0.0041
335,0.0047,0.0058
335,0.0009,0.0048
335,0.0036,0.0046
335,0.0014,0.0029
335,0.0044,0.0048
336,0.0041,0.0078
336,0.0023,0.0052
336,0.0022,0.0041
336,0.0062,0.0043
336,0.0040,0.0043
337,0.0067,0.0047
337,0.0037,0.0072
337,0.0062,0.0086
337,0.0056,0.0041
338,0.0078,0.0056
338,0.0012,0.0047
338,0.0020,0.0035
338,0.0046,0.0038
338,0.0082,0.0080
339,0.0021,0.0034
339,0.0051,0.0028
339,0.0046,0.0066
339,0.0043,0.0018
339,0.0037,0.0020
340,0.0057,0.0026
340,0.0032,0.0005
340,0.0047,0.0066
340,0.0030,0.0064
341,0.0058,0.0042
341,0.0022,0.0042
341,0.0047,0.0029
341,0.0048,0.0026
341,0.0031,0.0018
342,0.0032,0.0015
342,0.0044,-0.0003
342,0.0038,0.0046
342,0.0062,0.0071
342,0.0052,0.0056
343,0.0040,0.0059
343,0.0027,0.0050
343,0.0038,0.0068
343,0.0022,0.0035
344,0.0046,0.0065
344,0.0031,0.0014
344,0.0052,0.0060
344,0.0017,0.0033
344,0.0059,0.0031
345,0.0055,0.0067
345,0.0048,0.0080
345,0.0022,0.0023
345,0.0046,0.0068
345,0.0051,0.0045
346,0.0039,0.0014
346,0.0061,0.0042
346,0.0041,0.0061
346,0.0053,0.0013
347,0.0059,0.0018
347,0.0034,0.0050
347,0.0009,0.0029
347,0.0036,0.0004
347,0.0054,0.0069
348,0.0055,0.0029
348,0.0059,0.0045
348,0.0066,0.0027
348,0.0054,0.0077
348,0.0032,0.0021
349,0.0055,0.0036
349,0.0049,0.0029
349,0.0044,0.0061
349,0.0020,0.0011
349,0.0049,0.0058
350,0.0043,0.0042
350,0.0043,0.0036
350,0.0028,0.0027
350,0.0038,0.0043
351,0.0061,0.0051
351,0.0057,0.0038
351,0.0009,0.0029
351,0.0049,0.0040
351,0.0053,0.0029
352,0.0053,0.0012
352,0.0031,0.0038
352,0.0025,0.0030
352,0.0061,0.0035
352,0.0054,0.0048
353,0.0046,0.0048
353,0.0048,0.0069
353,0.0021,0.0055
353,0.0043,0.0063
354,0.0064,0.0055
354,0.0042,0.0034
354,0.0025,0.0033
354,0.0064,0.0036
354,0.0014,0.0040
355,0.0043,0.0003
355,0.0042,0.0040
355,0.0049,0.0034
355,0.0043,0.0028
355,0.0044,0.0066
356,0.0024,0.0039
356,0.0055,0.0061
356,0.0076,0.0075
356,0.0044,0.0022
357,0.0048,0.0075
357,0.0064,0.0061
357,0.0062,0.0067
357,0.0030,0.0044
357,0.0036,0.0021
358,0.0098,0.0051
358,0.0029,0.0025
358,0.0046,0.0038
358,0.0030,0.0055
358,0.0089,0.0063
359,0.0059,0.0087
359,0.0063,0.0057
359,0.0021,0.0038
359,0.0057,0.0021
360,0.0048,0.0043
360,0.0073,0.0054
360,0.0056,0.0039
360,0.0071,0.0068
360,0.0041,0.0063
361,0.0029,0.0057
361,-0.0001,0.0045
361,0.0073,0.0046
361,0.0044,0.0046
362,0.0038,0.0053
362,0.0068,0.0023
362,0.0032,0.0046
362,0.0022,0.0025
362,0.0030,0.0027
363,0.0058,0.0043
363,0.0034,0.0026
363,0.0060,0.0040
363,0.0037,0.0057
363,0.0049,0.0041
364,0.0052,0.0063
364,0.0045,0.0017
364,0.0042,0.0049
364,0.0071,0.0072
365,0.0047,0.0044
365,0.0034,0.0036
365,0.0054,0.0035
365,0.0054,0.0046
365,0.0077,0.0053
366,0.0004,0.0028
366,0.0049,0.0078
366,0.0028,0.0067
366,0.0032,0.0012
366,0.0029,0.0032
367,0.0033,0.0036
367,0.0047,0.0030
367,0.0023,0.0015
367,0.0058,0.0031
368,0.0060,0.0031
368,0.0026,0.0035
368,0.0051,0.0048
368,0.0043,0.0021
368,0.0061,0.0038
369,0.0013,0.0001
369,0.0050,0.0041
369,0.0032,0.0019
369,0.0059,0.0023
369,0.0056,0.0046
370,0.0046,0.0045
370,0.0051,0.0015
370,0.0039,0.0013
370,0.0015,0.0005
371,0.0038,0.0066
371,0.0053,0.0034
371,0.0045,0.0045
371,0.0028,0.0051
371,0.0045,0.0069
372,0.0035,0.0060
372,0.0040,0.0017
372,0.0048,0.0023
372,0.0044,0.0040
372,0.0014,0.0039
373,0.0046,0.0032
373,0.0055,0.0047
373,0.0072,0.0075
373,0.0046,0.0033
374,0.0050,0.0060
374,0.0032,0.0003
374,0.0057,0.0070
374,0.0028,0.0015
374,0.0048,0.0060
375,0.0043,0.0048
375,0.0064,0.0072
375,0.0052,0.0048
375,0.0052,0.0040
375,0.0048,0.0085
376,0.0097,0.0050
376,0.0059,0.0045
376,0.0047,0.0027
376,0.0049,0.0058
377,0.0068,0.0042
377,0.0057,0.0046
377,0.0086,0.0096
377,0.0055,0.0054
377,0.0045,0.0050
378,0.0030,0.0051
378,0.0061,0.0049
378,0.0035,0.0033
378,0.0041,0.0066
379,0.0030,0.0034
379,0.0054,0.0068
379,0.0070,0.0067
379,0.0050,0.0086
379,0.0028,0.0002
380,0.0070,0.0025
380,0.0037,0.0031
380,0.0063,0.0091
380,0.0039,0.0023
380,0.0061,0.0032
381,0.0074,0.0029
381,0.0023,0.0034
381,0.0045,0.0035
381,0.0048,0.0059
382,0.0046,0.0013
382,0.0073,0.0018
382,0.0030,0.0043
382,0.0055,0.0053
382,0.0032,0.0055
383,0.0069,0.0058
383,0.0052,0.0066
383,0.0065,0.0006
383,0.0055,0.0071
383,0.0075,0.0087
384,0.0047,0.0039
384,0.0049,0.0054
384,0.0052,0.0027
384,0.0055,0.0046
385,0.0052,0.0023
385,0.0037,0.0024
385,0.0045,0.0047
385,0.0038,0.0060
385,0.0056,0.0037
386,0.0041,0.0087
386,0.0094,0.0053
386,0.0067,0.0039
386,0.0057,0.0029
387,0.0060,0.0057
387,0.0061,0.0057
387,0.0074,0.0046
387,0.0042,0.0024
387,0.0052,0.0074
388,0.0065,0.0070
388,0.0049,0.0051
388,0.0057,0.0058
388,0.0067,0.0037
388,0.0065,0.0036
